open,high,low,close,volume
24246.75,24290.74,24118.28,24219.61,18136.31948
24219.61,24287.27,24150.0,24280.22,14969.83911
24280.74,24621.16,24247.82,24569.36,21323.27524
24568.41,24820.0,24443.1,24743.04,36496.528
24743.05,26025.0,24458.04,25832.57,80041.75204
25832.57,26386.87,25588.0,25759.64,66006.47052
25762.88,26140.0,25633.88,25815.75,36964.27261
25819.65,25959.27,25770.0,25894.67,27335.51996
25894.67,26001.81,25715.63,25867.21,27079.12535
25868.5,25889.0,25601.4,25628.25,24045.29646
25629.32,25650.37,24850.82,24990.18,40801.47491
24987.84,25160.0,24212.49,25054.15,52866.07352
25048.39,25167.9,24487.9,24570.06,31439.06258
24570.06,24628.88,23976.42,24535.95,34487.86286
24536.99,24790.0,24388.0,24698.39,20513.43984
24698.39,24777.87,24603.43,24670.41,17644.62904
24670.41,24742.29,24284.6,24720.06,25683.67851
24722.48,25074.24,24650.4,24906.01,24210.48624
24906.0,24971.22,24797.04,24827.89,11510.58201
24826.9,24855.0,24642.63,24717.65,13187.88115
24716.87,24816.66,24666.57,24799.9,11256.24051
24799.9,24873.8,24672.83,24699.71,11873.81558
24700.61,24847.49,24599.0,24781.98,14154.95217
24780.59,24918.59,24711.5,24871.28,12666.06354
24872.54,24922.22,24750.41,24754.7,15040.58315
24754.7,24785.0,24462.19,24516.74,20136.66754
24514.84,24648.1,24385.83,24538.14,22052.65897
24539.68,24817.53,24255.0,24754.5,35430.60441
24753.27,25196.97,24405.38,24808.12,52417.59823
24808.12,25128.0,24708.89,24777.01,44198.31413
24777.01,24952.35,24429.64,24706.61,41650.01841
24706.61,24819.92,24371.6,24471.01,34688.95688
24471.01,24523.0,24060.35,24104.69,44285.20751
24102.12,24360.0,23896.95,24281.86,36408.13136
24280.33,24512.38,24139.73,24409.25,31127.20079
24410.66,24479.9,24155.04,24366.71,25953.83987
24369.97,24430.0,24229.68,24318.56,13873.43147
24317.04,24450.0,24286.06,24422.31,8936.27785
24422.31,24633.02,24273.75,24361.12,17253.77967
24362.78,24443.05,24223.0,24285.66,13453.75989
24285.66,24384.12,24144.87,24202.64,16691.21973
24201.11,24344.36,24123.0,24322.5,15289.25029
24322.5,24439.8,24301.59,24362.64,10828.42349
24363.88,24382.95,24231.1,24265.43,9612.36415
24265.44,24313.72,24182.0,24262.65,10095.91464
24263.36,24461.04,24228.0,24342.8,13199.71614
24342.8,24599.96,24336.35,24568.74,17264.1142
24568.76,24685.0,24527.51,24614.27,17665.10824
24615.79,24660.49,24555.0,24581.1,14535.04948
24581.1,24848.88,24374.35,24658.21,26494.04297
24658.21,25066.32,24567.43,24930.23,32453.26186
24930.23,24935.2,24724.57,24824.62,20850.03396
24826.33,24913.35,24646.0,24720.18,25065.66573
24720.18,24850.0,24515.23,24832.09,29466.67506
24832.09,25032.74,24678.57,24846.64,28477.78412
24846.64,24939.45,24752.03,24888.44,22154.64835
24889.94,24918.95,24690.0,24780.79,21712.07102
24779.02,24810.0,24620.0,24684.98,16037.41229
24684.94,24831.0,24620.0,24790.77,12452.78164
24788.96,25167.4,24786.27,24953.21,25768.55152
24953.21,24959.04,24623.52,24696.87,16842.38364
24698.41,25090.0,24655.62,24914.01,13617.54104
24915.22,24999.42,24832.01,24981.59,11173.06741
24982.64,25075.0,24920.5,24998.78,11674.24901
24998.78,25002.61,24890.0,24918.14,10867.65841
24919.03,25730.0,24910.0,25666.59,32711.19977
25663.78,25896.0,25491.39,25580.16,34296.37961
25578.86,25788.5,25561.66,25781.66,14752.59187
25781.66,25879.91,25700.0,25722.04,13993.55989
25721.25,25769.0,25656.0,25765.88,13056.38477
25765.88,26196.4,25756.39,26142.14,32205.53855
26140.84,26169.39,25881.73,26058.45,23742.82701
26060.07,26212.0,25918.02,25996.41,23128.10874
25995.56,26344.16,25993.28,26240.16,20356.55883
26240.16,26788.81,26228.57,26706.71,45836.33175
26705.7,26970.0,26574.53,26918.73,33091.61922
26920.11,26935.12,26351.35,26631.94,35592.92087
26633.99,26756.58,26365.84,26453.89,28580.55611
26453.88,26623.9,26118.19,26283.0,39466.47737
26283.0,26516.46,26235.53,26421.34,25590.36137
26419.28,26573.43,26355.41,26393.98,21224.26679
26393.98,26650.0,26380.04,26487.79,22786.22097
26487.39,26619.26,26264.0,26617.57,21671.34729
26614.66,26860.66,26563.67,26834.87,28180.50668
26834.87,26880.0,26588.38,26769.59,17003.09962
26769.59,27239.49,26729.72,27094.27,21058.36896
27094.27,27756.84,26971.01,27513.31,39219.68878
27513.31,27699.26,27251.6,27395.13,26048.10768
27395.13,27652.61,27060.0,27627.51,28691.34464
27623.5,27724.85,27226.29,27329.78,24473.54725
27329.19,27483.0,27215.0,27290.98,16573.42439
27289.76,27357.33,27167.56,27307.54,11803.04539
27306.57,27403.79,27212.56,27331.24,10109.01573
27331.24,27612.31,27294.99,27578.05,13203.46795
27578.04,27609.78,27443.04,27505.28,10260.27665
27504.1,27513.47,27277.0,27359.89,9617.34798
27360.43,27365.79,27055.83,27217.57,15968.44128
27216.53,27438.9,27130.43,27398.26,12914.33134
